000
000, 001
000, 001, 010
000, 001, 010, 011
000, 001, 010, 011, 100
000, 001, 010, 011, 100, 101
000, 001, 010, 011, 100, 101, 110
000, 001, 010, 011, 100, 101, 110, 111
000, 001, 010, 011, 100, 101, 111
000, 001, 010, 011, 100, 110
000, 001, 010, 011, 100, 110, 111
000, 001, 010, 011, 100, 111
000, 001, 010, 011, 101
000, 001, 010, 011, 101, 110
000, 001, 010, 011, 101, 110, 111
000, 001, 010, 011, 101, 111
000, 001, 010, 011, 110
000, 001, 010, 011, 110, 111
000, 001, 010, 011, 111
000, 001, 010, 100
000, 001, 010, 100, 101
000, 001, 010, 100, 101, 110
000, 001, 010, 100, 101, 110, 111
000, 001, 010, 100, 101, 111
000, 001, 010, 100, 110
000, 001, 010, 100, 110, 111
000, 001, 010, 100, 111
000, 001, 010, 101
000, 001, 010, 101, 110
000, 001, 010, 101, 110, 111
000, 001, 010, 101, 111
000, 001, 010, 110
000, 001, 010, 110, 111
000, 001, 010, 111
000, 001, 011
000, 001, 011, 100
000, 001, 011, 100, 101
000, 001, 011, 100, 101, 110
000, 001, 011, 100, 101, 110, 111
000, 001, 011, 100, 101, 111
000, 001, 011, 100, 110
000, 001, 011, 100, 110, 111
000, 001, 011, 100, 111
000, 001, 011, 101
000, 001, 011, 101, 110
000, 001, 011, 101, 110, 111
000, 001, 011, 101, 111
000, 001, 011, 110
000, 001, 011, 110, 111
000, 001, 011, 111
000, 001, 100
000, 001, 100, 101
000, 001, 100, 101, 110
000, 001, 100, 101, 110, 111
000, 001, 100, 101, 111
000, 001, 100, 110
000, 001, 100, 110, 111
000, 001, 100, 111
000, 001, 101
000, 001, 101, 110
000, 001, 101, 110, 111
000, 001, 101, 111
000, 001, 110
000, 001, 110, 111
000, 001, 111
000, 010
000, 010, 011
000, 010, 011, 100
000, 010, 011, 100, 101
000, 010, 011, 100, 101, 110
000, 010, 011, 100, 101, 110, 111
000, 010, 011, 100, 101, 111
000, 010, 011, 100, 110
000, 010, 011, 100, 110, 111
000, 010, 011, 100, 111
000, 010, 011, 101
000, 010, 011, 101, 110
000, 010, 011, 101, 110, 111
000, 010, 011, 101, 111
000, 010, 011, 110
000, 010, 011, 110, 111
000, 010, 011, 111
000, 010, 100
000, 010, 100, 101
000, 010, 100, 101, 110
000, 010, 100, 101, 110, 111
000, 010, 100, 101, 111
000, 010, 100, 110
000, 010, 100, 110, 111
000, 010, 100, 111
000, 010, 101
000, 010, 101, 110
000, 010, 101, 110, 111
000, 010, 101, 111
000, 010, 110
000, 010, 110, 111
000, 010, 111
000, 011
000, 011, 100
000, 011, 100, 101
000, 011, 100, 101, 110
000, 011, 100, 101, 110, 111
000, 011, 100, 101, 111
000, 011, 100, 110
000, 011, 100, 110, 111
000, 011, 100, 111
000, 011, 101
000, 011, 101, 110
000, 011, 101, 110, 111
000, 011, 101, 111
000, 011, 110
000, 011, 110, 111
000, 011, 111
000, 100
000, 100, 101
000, 100, 101, 110
000, 100, 101, 110, 111
000, 100, 101, 111
000, 100, 110
000, 100, 110, 111
000, 100, 111
000, 101
000, 101, 110
000, 101, 110, 111
000, 101, 111
000, 110
000, 110, 111
000, 111
001
001, 010
001, 010, 011
001, 010, 011, 100
001, 010, 011, 100, 101
001, 010, 011, 100, 101, 110
001, 010, 011, 100, 101, 110, 111
001, 010, 011, 100, 101, 111
001, 010, 011, 100, 110
001, 010, 011, 100, 110, 111
001, 010, 011, 100, 111
001, 010, 011, 101
001, 010, 011, 101, 110
001, 010, 011, 101, 110, 111
001, 010, 011, 101, 111
001, 010, 011, 110
001, 010, 011, 110, 111
001, 010, 011, 111
001, 010, 100
001, 010, 100, 101
001, 010, 100, 101, 110
001, 010, 100, 101, 110, 111
001, 010, 100, 101, 111
001, 010, 100, 110
001, 010, 100, 110, 111
001, 010, 100, 111
001, 010, 101
001, 010, 101, 110
001, 010, 101, 110, 111
001, 010, 101, 111
001, 010, 110
001, 010, 110, 111
001, 010, 111
001, 011
001, 011, 100
001, 011, 100, 101
001, 011, 100, 101, 110
001, 011, 100, 101, 110, 111
001, 011, 100, 101, 111
001, 011, 100, 110
001, 011, 100, 110, 111
001, 011, 100, 111
001, 011, 101
001, 011, 101, 110
001, 011, 101, 110, 111
001, 011, 101, 111
001, 011, 110
001, 011, 110, 111
001, 011, 111
001, 100
001, 100, 101
001, 100, 101, 110
001, 100, 101, 110, 111
001, 100, 101, 111
001, 100, 110
001, 100, 110, 111
001, 100, 111
001, 101
001, 101, 110
001, 101, 110, 111
001, 101, 111
001, 110
001, 110, 111
001, 111
010
010, 011
010, 011, 100
010, 011, 100, 101
010, 011, 100, 101, 110
010, 011, 100, 101, 110, 111
010, 011, 100, 101, 111
010, 011, 100, 110
010, 011, 100, 110, 111
010, 011, 100, 111
010, 011, 101
010, 011, 101, 110
010, 011, 101, 110, 111
010, 011, 101, 111
010, 011, 110
010, 011, 110, 111
010, 011, 111
010, 100
010, 100, 101
010, 100, 101, 110
010, 100, 101, 110, 111
010, 100, 101, 111
010, 100, 110
010, 100, 110, 111
010, 100, 111
010, 101
010, 101, 110
010, 101, 110, 111
010, 101, 111
010, 110
010, 110, 111
010, 111
011
011, 100
011, 100, 101
011, 100, 101, 110
011, 100, 101, 110, 111
011, 100, 101, 111
011, 100, 110
011, 100, 110, 111
011, 100, 111
011, 101
011, 101, 110
011, 101, 110, 111
011, 101, 111
011, 110
011, 110, 111
011, 111
100
100, 101
100, 101, 110
100, 101, 110, 111
100, 101, 111
100, 110
100, 110, 111
100, 111
101
101, 110
101, 110, 111
101, 111
110
110, 111
111

totalCom: 255

count2: 28
